date,open,high,low,close,volume,symbol
2019-01-01,6979.120461938708,7020.575018191037,6927.82923132142,7004.46142578125,625360,MARUTI
2019-01-02,6974.670572325397,6988.722964344858,6786.368519264632,6808.7119140625,891844,MARUTI
2019-01-03,6820.094568884123,6885.67240127724,6731.658269258051,6748.84912109375,715168,MARUTI
2019-01-04,6781.684956239957,6847.262791153176,6708.800059838848,6777.46923828125,774445,MARUTI
2019-01-07,6848.198348556702,6939.070474385703,6838.83008816196,6896.9599609375,687845,MARUTI
2019-01-08,6913.776911093236,6983.851323370027,6859.534769090692,6969.51806640625,516841,MARUTI
2019-01-09,6989.191844571088,7053.3644390825975,6945.629426399041,7019.544921875,740580,MARUTI
2019-01-10,7026.195902932204,7036.500990256505,6895.180678508603,6924.64404296875,452699,MARUTI
2019-01-11,6916.306412450098,6932.5133214304005,6821.9678387373215,6858.03564453125,488399,MARUTI
2019-01-14,6866.936144806525,6963.757225456591,6798.547831222503,6940.66455078125,424152,MARUTI
2019-01-15,6960.619095477254,6998.092145789378,6854.757728345499,6890.49755859375,491196,MARUTI
2019-01-16,6885.204021376236,6917.52452464006,6830.493463860055,6848.43359375,424769,MARUTI
2019-01-17,6875.367287602232,6931.530199679753,6845.857263135756,6872.791015625,462725,MARUTI
2019-01-18,6880.9880356348185,6913.730292379327,6855.693729717576,6893.1201171875,334555,MARUTI
2019-01-21,6893.166862688609,6913.777038141063,6708.612109773462,6753.017578125,654537,MARUTI
2019-01-22,6726.41232354344,6726.41232354344,6608.840631815766,6622.2841796875,896521,MARUTI
2019-01-23,6604.624921832654,6681.678879254035,6581.204266081474,6600.3154296875,702474,MARUTI
2019-01-24,6613.898431685284,6649.591597257231,6571.272844523379,6595.81787109375,520703,MARUTI
2019-01-25,6608.371646852122,6682.3809125313555,6005.055607644187,6101.92333984375,3062762,MARUTI
2019-01-28,6101.080260569659,6192.420809576269,5918.586710759028,6099.7216796875,2398091,MARUTI
2019-01-29,6070.633019914277,6200.992277921347,6040.092398111119,6114.6171875,1101399,MARUTI
2019-01-30,6144.642169275904,6171.810125200435,6096.864039891383,6134.5712890625,583773,MARUTI
2019-01-31,6159.631584268155,6239.308460798796,6051.943241505468,6221.6025390625,926270,MARUTI
2019-02-01,6257.062165302947,6748.895918377366,6232.282929436093,6522.46484375,2545419,MARUTI
2019-02-04,6534.363202507799,6594.32008350572,6418.805591160021,6546.7294921875,658776,MARUTI
2019-02-05,6553.099062941377,6674.886465111838,6544.105440217243,6645.47021484375,681498,MARUTI
2019-02-06,6670.20296292661,6763.88558881041,6620.551171208195,6729.59765625,567827,MARUTI
2019-02-07,6746.085693995208,6857.568015559634,6731.190248399166,6841.22021484375,690174,MARUTI
2019-02-08,6810.725903815661,6838.830687462768,6651.465463148719,6683.5517578125,576159,MARUTI
2019-02-11,6698.306491435334,6754.469398068135,6605.654483341423,6724.44384765625,502244,MARUTI
2019-02-12,6738.590286526505,6773.25285299411,6677.649930345825,6710.01708984375,494592,MARUTI
2019-02-14,6592.164490432046,6661.9580358305475,6548.414527993632,6574.17724609375,622311,MARUTI
2019-02-15,6583.452071372087,6612.775004667934,6464.100509964882,6492.251953125,768798,MARUTI
2019-02-18,6524.713696205423,6555.722277848817,6386.34428183547,6410.4208984375,509963,MARUTI
2019-02-19,6421.943729774095,6478.9963550111925,6343.25032739612,6374.6806640625,493861,MARUTI
2019-02-20,6409.764692045069,6452.858696113189,6374.539936363327,6417.16552734375,534284,MARUTI
2019-02-21,6435.012076485458,6445.03584169021,6290.78750972571,6371.86962890625,722938,MARUTI
2019-02-22,6395.711937510398,6500.63646321732,6388.263986863598,6475.716796875,764535,MARUTI
