date,open,high,low,close,volume,symbol
2019-01-01,201.49904310454698,202.46297600275406,199.78536701800064,201.85604858398438,2586466,ITC
2019-01-02,201.53478912741474,202.24882284499336,198.17885554742318,200.3566436767578,10316782,ITC
2019-01-03,200.35663553525345,201.67757409795263,198.32164065432963,199.10707092285156,6350450,ITC
2019-01-04,199.3212852649644,202.03460425649482,199.3212852649644,200.60653686523438,8105747,ITC
2019-01-07,202.9985328281623,203.6768569036893,200.6422420511757,201.10635375976562,10133320,ITC
2019-01-08,201.35626690873804,203.85535073441264,200.89213259082337,202.9628143310547,7768619,ITC
2019-01-09,203.92678070500583,208.28235677294379,203.21274701869484,207.35411071777344,12651287,ITC
2019-01-10,207.60402252094323,209.71039124232897,206.283061397464,206.7828826904297,10684824,ITC
2019-01-11,208.42512262727024,211.35265356872011,208.13951371609474,210.88851928710938,17419014,ITC
2019-01-14,210.2816402508001,210.49582998817345,207.0685000046124,210.13882446289062,6646635,ITC
2019-01-15,210.81714581045577,212.35231933455788,209.92460937913881,211.74539184570312,7490965,ITC
2019-01-16,211.35270030060542,211.7454154690116,208.28237553952167,209.96034240722656,8083821,ITC
2019-01-17,209.99599956483584,211.06706135354017,207.17559720034006,209.888916015625,11009380,ITC
2019-01-18,209.38908753221125,210.7100259768102,207.53259558199525,208.1038360595703,11418250,ITC
2019-01-21,209.10346961029325,209.35339157858604,206.14025137268592,206.99710083007812,8519267,ITC
2019-01-22,206.96138070545925,207.78252051716484,203.6054475136961,206.88998413085938,10727385,ITC
2019-01-23,208.13950780944825,210.21018932895143,196.35803306692316,198.0002899169922,41735950,ITC
2019-01-24,199.42835487161312,202.32017609921758,198.39300280840456,199.1427459716797,29105831,ITC
2019-01-25,199.92818192783463,201.85604771595854,198.85714286447052,199.35696411132812,9240591,ITC
2019-01-28,199.142768298289,199.53548340843332,195.78683506075413,196.17955017089844,9338450,ITC
2019-01-29,196.57227234567043,199.21417203343782,196.1795572214123,198.8214569091797,7267917,ITC
2019-01-30,199.99957850375975,200.07097507341092,195.78681881981998,196.7150421142578,10852162,ITC
2019-01-31,197.42907531990588,199.6425726417515,195.35839376674537,198.96424865722656,15937442,ITC
2019-02-01,200.39232519971722,203.64115250217267,199.2855763620396,200.53514099121094,19060690,ITC
2019-02-04,201.28484318260686,201.28484318260686,197.10777019314227,197.85751342773438,6289877,ITC
2019-02-05,198.03599240498758,198.3573108955254,194.57295346383015,195.7510986328125,10205529,ITC
2019-02-06,196.3580683487022,198.78575577583797,196.0367497888918,198.2859344482422,8409442,ITC
2019-02-07,198.4287340620449,200.64223156516485,197.78609699481933,200.1424102783203,6177040,ITC
2019-02-08,199.57115382653762,200.78500865889526,196.0724277280822,196.7150421142578,4575570,ITC
2019-02-11,196.92926744241146,198.6429436346772,191.6811553189029,197.85751342773438,10335615,ITC
2019-02-12,197.82180753319298,200.28520437655945,196.0724443357909,196.572265625,7624089,ITC
2019-02-14,197.78607394516627,200.0709677573694,197.78607394516627,198.4287109375,10378675,ITC
2019-02-15,199.21417301908207,200.6065307628244,196.64366989673627,199.99960327148438,38998388,ITC
2019-02-18,199.07137581916786,201.67756586300092,195.5726267288296,196.1438446044922,42232590,ITC
2019-02-19,195.64400812111126,199.3569692840593,195.64400812111126,197.0006561279297,35777932,ITC
2019-02-20,197.96462365926195,198.14312641364927,195.82252271763562,196.96498107910156,6208106,ITC
2019-02-21,197.0006958648778,197.60762341920872,195.78686338587866,196.39376831054688,7264425,ITC
2019-02-22,196.78646125585445,197.036360564389,195.00138860749587,195.85821533203125,9100951,ITC
2019-02-25,196.00103154842807,197.89321058884568,194.92999235924043,197.57191467285156,31204722,ITC
2019-02-26,196.32232703669004,197.78608117765555,195.67971265051443,196.7150421142578,12233273,ITC
2019-02-27,197.07206509971633,199.14274660304142,195.5726013980691,196.42942810058594,13634026,ITC
2019-02-28,198.00030922238878,198.00030922238878,195.82252132318868,197.10777282714844,44873000,ITC
2019-03-01,197.39339497989593,199.21417749482353,197.25060181970213,198.64295959472656,9170950,ITC
2019-03-05,199.92819529095314,202.7843071940447,197.1077703602426,201.7489776611328,14103324,ITC
2019-03-06,203.49832840331922,206.4972559018224,203.31982566333497,204.0338592529297,20817638,ITC
2019-03-07,204.71217510798348,207.78249905454285,204.10524771242845,207.13986206054688,14837761,ITC
