Datetime,Close,High,Low,Open,Volume
,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS
2026-03-13 03:45:00+00:00,10869.0,10969.0,10869.0,10969.0,0
2026-03-13 03:50:00+00:00,10879.0,10900.0,10852.0,10859.0,7837
2026-03-13 03:55:00+00:00,10860.0,10892.0,10854.0,10882.0,35868
2026-03-13 04:00:00+00:00,10840.0,10896.0,10840.0,10862.0,26996
2026-03-13 04:05:00+00:00,10855.0,10859.0,10831.0,10844.0,28381
2026-03-13 04:10:00+00:00,10880.0,10897.0,10855.0,10855.0,15323
2026-03-13 04:15:00+00:00,10847.0,10895.0,10840.0,10883.0,12641
2026-03-13 04:20:00+00:00,10822.0,10850.0,10820.0,10845.0,11477
2026-03-13 04:25:00+00:00,10804.0,10824.0,10803.0,10821.0,6232
2026-03-13 04:30:00+00:00,10777.0,10804.0,10777.0,10804.0,5066
2026-03-13 04:35:00+00:00,10770.0,10783.0,10768.0,10777.0,4608
2026-03-13 04:40:00+00:00,10765.0,10775.0,10751.0,10770.0,5902
2026-03-13 04:45:00+00:00,10750.0,10769.0,10743.0,10764.0,12728
2026-03-13 04:50:00+00:00,10742.0,10755.0,10741.0,10750.0,5745
2026-03-13 04:55:00+00:00,10749.0,10753.0,10735.0,10742.0,3282
2026-03-13 05:00:00+00:00,10745.0,10765.0,10745.0,10753.0,5596
2026-03-13 05:05:00+00:00,10752.0,10752.0,10745.0,10747.0,1999
2026-03-13 05:10:00+00:00,10743.0,10754.0,10740.0,10754.0,2765
2026-03-13 05:15:00+00:00,10750.0,10757.0,10740.0,10740.0,4241
2026-03-13 05:20:00+00:00,10760.0,10779.0,10750.0,10751.0,10706
2026-03-13 05:25:00+00:00,10765.0,10765.0,10755.0,10759.0,11888
2026-03-13 05:30:00+00:00,10794.0,10794.0,10763.0,10769.0,9574
2026-03-13 05:35:00+00:00,10749.0,10792.0,10745.0,10790.0,18141
2026-03-13 05:40:00+00:00,10727.0,10754.0,10723.0,10746.0,5086
2026-03-13 05:45:00+00:00,10725.0,10731.0,10722.0,10726.0,3513
2026-03-13 05:50:00+00:00,10718.0,10730.0,10709.0,10724.0,10759
2026-03-13 05:55:00+00:00,10730.0,10730.0,10710.0,10718.0,12193
2026-03-13 06:00:00+00:00,10748.0,10750.0,10720.0,10729.0,24723
2026-03-13 06:05:00+00:00,10756.0,10775.0,10737.0,10748.0,8197
2026-03-13 06:10:00+00:00,10755.0,10775.0,10750.0,10760.0,4634
2026-03-13 06:15:00+00:00,10767.0,10770.0,10750.0,10757.0,7742
2026-03-13 06:20:00+00:00,10762.0,10770.0,10756.0,10767.0,2476
2026-03-13 06:25:00+00:00,10784.0,10785.0,10760.0,10761.0,4803
2026-03-13 06:30:00+00:00,10782.0,10789.0,10770.0,10780.0,3456
2026-03-13 06:35:00+00:00,10759.0,10783.0,10758.0,10783.0,3608
2026-03-13 06:40:00+00:00,10770.0,10777.0,10755.0,10763.0,4958
2026-03-13 06:45:00+00:00,10744.0,10789.0,10740.0,10770.0,10510
2026-03-13 06:50:00+00:00,10745.0,10752.0,10730.0,10739.0,13788
2026-03-13 06:55:00+00:00,10726.0,10745.0,10715.0,10745.0,5488
2026-03-13 07:00:00+00:00,10696.0,10732.0,10695.0,10727.0,10583
2026-03-13 07:05:00+00:00,10700.0,10703.0,10683.0,10694.0,5606
2026-03-13 07:10:00+00:00,10723.0,10726.0,10695.0,10702.0,3086
2026-03-13 07:15:00+00:00,10736.0,10736.0,10715.0,10717.0,2746
2026-03-13 07:20:00+00:00,10725.0,10733.0,10712.0,10733.0,4675
2026-03-13 07:25:00+00:00,10724.0,10730.0,10717.0,10726.0,3612
2026-03-13 07:30:00+00:00,10719.0,10730.0,10709.0,10726.0,2829
2026-03-13 07:35:00+00:00,10713.0,10728.0,10707.0,10722.0,2574
2026-03-13 07:40:00+00:00,10703.0,10727.0,10699.0,10713.0,4706
2026-03-13 07:45:00+00:00,10697.0,10708.0,10695.0,10702.0,1913
2026-03-13 07:50:00+00:00,10678.0,10704.0,10678.0,10699.0,3134
2026-03-13 07:55:00+00:00,10695.0,10696.0,10670.0,10675.0,3047
2026-03-13 08:00:00+00:00,10680.0,10700.0,10680.0,10697.0,2229
2026-03-13 08:05:00+00:00,10672.0,10685.0,10664.0,10683.0,2737
2026-03-13 08:10:00+00:00,10671.0,10673.0,10661.0,10671.0,2887
2026-03-13 08:15:00+00:00,10670.0,10672.0,10664.0,10670.0,2582
2026-03-13 08:20:00+00:00,10656.0,10669.0,10640.0,10669.0,4924
2026-03-13 08:25:00+00:00,10636.0,10663.0,10635.0,10657.0,4549
2026-03-13 08:30:00+00:00,10650.0,10655.0,10638.0,10641.0,4971
2026-03-13 08:35:00+00:00,10655.0,10675.0,10646.0,10649.0,18485
2026-03-13 08:40:00+00:00,10650.0,10658.0,10643.0,10657.0,8854
2026-03-13 08:45:00+00:00,10660.0,10662.0,10644.0,10650.0,10040
2026-03-13 08:50:00+00:00,10647.0,10671.0,10644.0,10659.0,17378
2026-03-13 08:55:00+00:00,10656.0,10677.0,10643.0,10643.0,26773
2026-03-13 09:00:00+00:00,10630.0,10666.0,10616.0,10657.0,13549
2026-03-13 09:05:00+00:00,10632.0,10645.0,10628.0,10630.0,4128
2026-03-13 09:10:00+00:00,10598.0,10633.0,10598.0,10631.0,21939
2026-03-13 09:15:00+00:00,10615.0,10622.0,10596.0,10598.0,28175
2026-03-13 09:20:00+00:00,10603.0,10626.0,10598.0,10615.0,12609
2026-03-13 09:25:00+00:00,10608.0,10611.0,10596.0,10604.0,5434
2026-03-13 09:30:00+00:00,10595.0,10622.0,10595.0,10606.0,6994
2026-03-13 09:35:00+00:00,10597.0,10604.0,10591.0,10595.0,7961
2026-03-13 09:40:00+00:00,10599.0,10606.0,10582.0,10595.0,11486
2026-03-13 09:45:00+00:00,10593.0,10602.0,10587.0,10600.0,12389
2026-03-13 09:50:00+00:00,10602.0,10639.0,10575.0,10591.0,34066
2026-03-13 09:55:00+00:00,10738.0,10738.0,10601.0,10604.0,25832
2026-03-16 03:45:00+00:00,10933.0,10945.0,10733.0,10733.0,0
2026-03-16 03:50:00+00:00,10880.0,10954.0,10871.0,10934.0,13239
2026-03-16 03:55:00+00:00,10919.0,10945.0,10861.0,10876.0,14275
2026-03-16 04:00:00+00:00,10925.0,10956.0,10901.0,10915.0,12492
2026-03-16 04:05:00+00:00,10883.0,10932.0,10880.0,10925.0,8011
2026-03-16 04:10:00+00:00,10866.0,10897.0,10862.0,10880.0,6410
2026-03-16 04:15:00+00:00,10873.0,10895.0,10854.0,10863.0,7912
2026-03-16 04:20:00+00:00,10880.0,10890.0,10863.0,10872.0,5304
2026-03-16 04:25:00+00:00,10875.0,10894.0,10871.0,10883.0,8481
2026-03-16 04:30:00+00:00,10923.0,10923.0,10875.0,10876.0,5297
2026-03-16 04:35:00+00:00,10975.0,10993.0,10934.0,10935.0,13556
2026-03-16 04:40:00+00:00,10919.0,10981.0,10906.0,10981.0,10803
2026-03-16 04:45:00+00:00,10900.0,10916.0,10882.0,10916.0,10497
2026-03-16 04:50:00+00:00,10880.0,10900.0,10879.0,10896.0,5031
2026-03-16 04:55:00+00:00,10880.0,10893.0,10875.0,10888.0,5948
2026-03-16 05:00:00+00:00,10914.0,10922.0,10882.0,10882.0,4652
2026-03-16 05:05:00+00:00,10924.0,10940.0,10909.0,10919.0,12089
2026-03-16 05:10:00+00:00,10937.0,10938.0,10912.0,10913.0,3560
2026-03-16 05:15:00+00:00,10933.0,10950.0,10927.0,10937.0,11502
2026-03-16 05:20:00+00:00,10915.0,10940.0,10906.0,10931.0,10973
2026-03-16 05:25:00+00:00,10915.0,10929.0,10905.0,10917.0,6389
2026-03-16 05:30:00+00:00,10937.0,10948.0,10915.0,10918.0,9365
2026-03-16 05:35:00+00:00,10976.0,10976.0,10926.0,10936.0,13614
2026-03-16 05:40:00+00:00,10966.0,10980.0,10951.0,10976.0,6589
2026-03-16 05:45:00+00:00,10985.0,10986.0,10960.0,10966.0,3606
2026-03-16 05:50:00+00:00,10992.0,10998.0,10982.0,10985.0,4415
2026-03-16 05:55:00+00:00,10992.0,10992.0,10973.0,10982.0,3054
2026-03-16 06:00:00+00:00,10971.0,10991.0,10971.0,10991.0,8356
