date,open,high,low,close,volume,symbol
2019-01-01,348.7861630154639,351.97009131506957,343.8655224616585,350.95703125,7759872,ICICIBANK
2019-01-02,348.7861805929132,354.96108910459435,347.6283723650977,351.77716064453125,18243156,ICICIBANK
2019-01-03,352.16309307857125,354.38219120244753,349.3168316444681,350.4746398925781,12884409,ICICIBANK
2019-01-04,349.12383084932657,355.8293834010112,345.45745824328,352.35601806640625,22896026,ICICIBANK
2019-01-07,354.57511909490694,357.9520249910489,353.6585185739553,354.7680969238281,12719847,ICICIBANK
2019-01-08,354.8645824926237,368.37220707061374,353.7068037667955,366.7802429199219,21501136,ICICIBANK
2019-01-09,368.2274619233816,370.06063352396103,362.3902506426274,368.8063659667969,21730142,ICICIBANK
2019-01-10,367.5521224321201,368.70990115033806,362.8244303054715,366.1531066894531,14497154,ICICIBANK
2019-01-11,367.2144003992878,367.793304440289,362.052552653808,365.2364807128906,12537973,ICICIBANK
2019-01-14,365.3812387551702,365.3812387551702,359.5922570760978,360.2193908691406,14844029,ICICIBANK
2019-01-15,360.4123248273668,362.1972666624671,357.56609328235805,359.6404724121094,12960779,ICICIBANK
2019-01-16,358.96510108772685,366.39430617027557,358.96510108772685,362.1007995605469,15106484,ICICIBANK
2019-01-17,362.7761714908635,364.6576022430636,359.68870293450493,361.4254150390625,13171721,ICICIBANK
2019-01-18,361.4254347756805,363.16211753079205,357.3249060176213,358.9168701171875,12212121,ICICIBANK
2019-01-21,359.8816784191222,362.9208877769688,357.566091739062,358.6274108886719,8908581,ICICIBANK
2019-01-22,357.51786315520206,359.39929405616294,353.22438589949115,356.07061767578125,14756076,ICICIBANK
2019-01-23,355.8294248274152,360.5571171446799,353.5620970378817,354.4786682128906,9726450,ICICIBANK
2019-01-24,353.7068050348332,355.53997677384683,349.027372043254,351.9700927734375,17521254,ICICIBANK
2019-01-25,349.6062911812134,351.8253892590872,342.08059661308135,344.6374206542969,22978238,ICICIBANK
2019-01-28,340.77807369335596,342.41826753657205,324.810114563864,331.4674377441406,34362360,ICICIBANK
2019-01-29,330.8885653985097,337.7870962012659,329.34483101922194,334.6513977050781,20738442,ICICIBANK
2019-01-30,338.65540766238934,355.63642544542813,338.65540766238934,353.0313720703125,39400056,ICICIBANK
2019-01-31,359.5922657727153,363.40332780370386,341.64641624471966,351.6324157714844,85917249,ICICIBANK
2019-02-01,351.68064741496363,352.06657364947023,336.4845700575269,342.17706298828125,25605469,ICICIBANK
2019-02-04,338.65540045381715,344.3478927492274,333.83124945020154,342.0805358886719,17039321,ICICIBANK
2019-02-05,342.12883690506675,343.5760823831387,336.5810625724576,340.2474060058594,12197271,ICICIBANK
2019-02-06,341.1639981691748,349.1720778392176,340.77807194006743,346.66351318359375,15396216,ICICIBANK
2019-02-07,346.47053180463246,349.0755556863027,343.96196738784244,346.0363464355469,10247434,ICICIBANK
2019-02-08,344.34794996197945,345.79519550352126,338.41424913051543,342.61126708984375,9308651,ICICIBANK
2019-02-11,342.12885695801435,342.22534588439817,336.77403070871884,337.7388610839844,9419635,ICICIBANK
2019-02-12,336.72578488146894,339.6202758689887,331.17801048872263,332.1910705566406,14924394,ICICIBANK
2019-02-14,327.8975834347343,334.6513955366062,324.3276995460313,331.8533935546875,15172596,ICICIBANK
2019-02-15,331.949840312596,335.5197240645401,328.6211935707613,330.1166687011719,20316848,ICICIBANK
2019-02-18,330.1649187700445,330.93677118167665,325.6784346140509,326.83624267578125,10601490,ICICIBANK
2019-02-19,327.17396907358875,338.0765399676161,327.17396907358875,331.1780090332031,14384763,ICICIBANK
2019-02-20,332.86647039467925,335.37503519085857,330.3096758587656,333.0594482421875,9474758,ICICIBANK
2019-02-21,334.60314874197263,342.46653953568057,334.0725038348948,338.94488525390625,18631331,ICICIBANK
2019-02-22,339.0413537570648,341.64640728504565,338.9448648404205,339.6684875488281,10997730,ICICIBANK
2019-02-25,340.6333538296449,344.87863105643044,340.6333538296449,343.09368896484375,10344411,ICICIBANK
2019-02-26,337.69060119977377,340.2956547581712,334.410184105547,335.95391845703125,18096382,ICICIBANK
2019-02-27,338.65543158153923,342.2253154300553,331.2262265753988,333.3970947265625,17325417,ICICIBANK
2019-02-28,336.1951636574678,339.3790921902801,332.8664870096564,337.8353576660156,18347113,ICICIBANK
2019-03-01,339.6684689051987,342.514729846424,338.3177124791678,341.7911071777344,14190221,ICICIBANK
2019-03-05,342.5147891586104,351.3429813565172,340.39215051850425,350.4746398925781,17638277,ICICIBANK
2019-03-06,352.4042773672393,359.73699375025376,352.4042773672393,358.86865234375,31436190,ICICIBANK
2019-03-07,358.4344872840951,360.8465632415924,355.53999613509836,357.75909423828125,15355303,ICICIBANK
2019-03-08,356.7942496495582,360.26764477891874,354.71987029755905,357.5661315917969,16143455,ICICIBANK
2019-03-11,358.72388939259116,365.09177518387935,356.9872066514597,362.6314697265625,11449587,ICICIBANK
2019-03-12,364.7058386995896,375.31897157179986,364.0787049187246,374.547119140625,37108265,ICICIBANK
2019-03-13,374.2576528280548,379.4195006198129,370.78425799518976,378.1169738769531,19574619,ICICIBANK
2019-03-14,378.2135007911047,379.17833115026565,373.19637114575323,374.2576904296875,13182462,ICICIBANK
2019-03-15,375.1742322107121,384.24363027563095,374.4506095548258,381.3973693847656,31466545,ICICIBANK
2019-03-18,382.3140373120242,385.83566230313886,379.6607537723193,384.05072021484375,21220626,ICICIBANK
2019-03-19,384.38836669921875,386.84870150961257,380.0466305630582,384.38836669921875,11670392,ICICIBANK
2019-03-20,383.616500915827,384.1471457584987,378.4064236227274,379.081787109375,14181408,ICICIBANK
2019-03-22,380.57736244136703,382.36227512304663,376.28385539060554,378.0205383300781,17409249,ICICIBANK
2019-03-25,374.30589640232813,374.30589640232813,369.0475599147195,370.01239013671875,12345034,ICICIBANK
2019-03-26,371.41146254820006,381.5904111695728,369.9159578087767,380.2396545410156,14063632,ICICIBANK
2019-03-27,381.49391648752766,384.4366667369215,376.42855712365304,379.3713073730469,17950017,ICICIBANK
2019-03-28,378.9371338442885,387.76532598133883,378.9371338442885,386.4627990722656,23117485,ICICIBANK
2019-04-01,387.33112096389885,395.1462225408877,381.83157668559716,384.24365234375,16106604,ICICIBANK
2019-04-02,385.9321147356451,385.9321147356451,379.61248813456234,383.1823425292969,13010810,ICICIBANK
